PÁGINA | NOMBRE (mi interpretación) | PRECIOS DETECTADOS | CONFIANZA | PRODUCTO EXISTENTE RELACIONADO | ACCIÓN PROPUESTA
1 | Portada | - | - | - | Ignorar
2 | Info pagos | - | - | - | Ignorar
3 | Info envíos | - | - | - | Ignorar
4 | Info envíos | - | - | - | Ignorar
5 | TV Box (surtido) | 3x13 / 5x13 / 10x12 / 50x11 / 100x10.5 USD | MEDIA | TV Box 4K MXQ Pro (13 USD) | Confirmar nombre
6 | TV Box MXQ | 3x13 / 5x13 / 10x12 / 100x10.5 USD | MEDIA | TV Box 4K MXQ Pro (13) / 8K MXQ Pro 5G (18) | Confirmar modelo
7 | TV Stick | 1x22 / 3x19 / 10x18 / 50x17.5 USD | ALTA | TV Stick 4K Android (22) | Actualizar precio
8 | Watch | 1x22 / 3x19 / 10x18 / 50x17.5 USD | MEDIA | Watch OM / TV Watch 4K (22) | Confirmar
9 | Watch | 1x22 / 3x19 / 10x18 / 50x17.5 USD | MEDIA | Watch OM Full HD Streaming (22) | Confirmar
10 | Proyector Gamer | 1x48 / 3x47 / 5x46 / 10x45 USD | MEDIA | Proyector Gamer Nuvoh (52) / Genérico (45) | Confirmar
11 | Proyector Y300 PRO | 1x35 / 3x34 / 5x33 / 10x31 / 20x31 USD | ALTA | Proyector HY300 Ultra HD (35) | Actualizar precio
12 | Proyector | 1x18 USD | BAJA | ? | Completar nombre
13 | Auricular/otro | 1x26 aprox | BAJA | ? | Completar nombre
14 | Proyector | 1x32 / 2x30.5 / 10x28.5 USD | BAJA | ? | Completar nombre
15 | ? | 1x26490 / 10x25300 PESOS | BAJA | ? | Completar nombre
16 | ? (WEAUCO 670?) | 1x26490 PESOS | BAJA | ? | Completar nombre
17 | ? | 1x65 / 10x60 USD | BAJA | ? | Completar nombre
18 | ? | 1x15 / 5x14.5 USD | BAJA | ? | Completar nombre
19 | Teclado | 1x4.3 / 2x4.10 / 5x4 / 10x3.9 USD | MEDIA | Teclado Noga NKB780TI (4.3) | Actualizar precio
20 | Game Stick/Retro | 1x14 / 3x13.5 / 5x13 / 10x12 USD | MEDIA | Consola Retro (21-32) | Confirmar
21 | ? | 1x16 / 3x15.5 / 10x15 USD | BAJA | ? | Completar nombre
22 | ? | 1x15.5 / 3x15 USD | BAJA | ? | Completar nombre
23 | Combo Teclado+Mouse | 1x9 / 2x8.9 / 3x8.7 / 5x8.5 USD | MEDIA | Teclado + Mouse Noga 95900 BT (9) | Actualizar precio
24 | MOUSE INALAMBRICO | 1x4.2 USD | ALTA | ? | Crear o mapear
25 | ? | - | BAJA | ? | Completar nombre
26 | ? (Gaming) | 1x300 USD | BAJA | Consola Retro RS5 (32)? | Completar nombre
27 | ? | 1x32 / 3x31 / 5x30 / 10x29.5 USD | BAJA | ? | Completar nombre
28 | ? | 1x24 USD | BAJA | Game Stick (24) | Completar nombre
29 | ? | 1x24 USD | BAJA | ? | Completar nombre
30 | Cámara | 3x23 / 5x22 / 10x21 / 20x20 / 30x19 USD | MEDIA | Cámaras Foco 360 (14) | Confirmar
31 | ? | 1x18000 / 10x17500 ARS | BAJA | ? | Completar nombre
32 | ? | 1x16 / 3x18.8 / 5x18 / 10x14.5 / 20x13.5 USD | BAJA | ? | Completar nombre
33 | CAMARA | 1x23 / 3x23 / 5x22.5 / 10x22 / 30x21 USD | MEDIA | ? | Confirmar nombre
34 | XBOX (consola) | 1x20 USD | MEDIA | ? | Completar nombre
35 | ? | 1x50 USD | BAJA | ? | Completar nombre
36 | ? | 1x45 USD | BAJA | ? | Completar nombre
37 | ? | 1x145000 PESOS | BAJA | ? | Completar nombre
38 | ? (volante) | 1x75000 PESOS | MEDIA | Volante ST VO6 Noga (75000) | Confirmar
